Final State Abbreviation Standard,Final County,CNT
NH,Carroll County,55
NH,Strafford County,31
NH,Rockingham County,44
NH,Carroll County,18
NH,Rockingham County,55
NH,Strafford County,367
NH,Strafford County,56
NH,Strafford County,22
NH,Rockingham County,25
NH,Carroll County,33
NH,Rockingham County,32
NH,Rockingham County,107
NH,Carroll County,2
NH,Strafford County,108
NH,Carroll County,12
NH,Strafford County,29
NH,Rockingham County,39
NH,Carroll County,115
NH,Carroll County,6
NH,Carroll County,3
NH,Carroll County,44
ME,York County,63
ME,York County,13
ME,York County,38
ME,York County,48
ME,York County,9
ME,York County,28
ME,York County,9
ME,York County,18
ME,York County,76
ME,York County,3
ME,York County,13
ME,York County,17
ME,York County,34
ME,Cumberland County,9
ME,York County,248
ME,Sagadahoc County,11
ME,Cumberland County,36
ME,Oxford County,9
ME,Cumberland County,168
#FIELD!,#FIELD!,6
ME,Cumberland County,81
ME,Oxford County,1
ME,Cumberland County,3
#FIELD!,#FIELD!,11
ME,York County,14
ME,Cumberland County,38
ME,Oxford County,11
ME,Cumberland County,6
ME,York County,45
ME,Cumberland County,42
ME,York County,15
ME,Cumberland County,53
ME,Oxford County,17
ME,Cumberland County,88
ME,Cumberland County,29
ME,Cumberland County,37
ME,Oxford County,32
ME,York County,20
ME,York County,49
ME,York County,32
ME,York County,12
ME,York County,17
ME,York County,17
ME,Cumberland County,5
ME,Oxford County,3
#FIELD!,#FIELD!,1
ME,Cumberland County,24
#FIELD!,#FIELD!,5
ME,York County,20
ME,Cumberland County,118
#FIELD!,#FIELD!,12
ME,York County,101
ME,Cumberland County,7
ME,Oxford County,12
ME,Cumberland County,1
ME,Cumberland County,16
ME,York County,207
ME,York County,108
ME,Cumberland County,150
ME,York County,11
ME,Cumberland County,13
ME,York County,61
ME,Cumberland County,61
ME,Cumberland County,5
ME,Sagadahoc County,60
ME,York County,10
ME,Oxford County,12
ME,York County,86
ME,Cumberland County,9
ME,Cumberland County,151
ME,York County,49
ME,York County,7
ME,Cumberland County,26
ME,Cumberland County,9
#FIELD!,#FIELD!,1
ME,Cumberland County,191
ME,Cumberland County,239
ME,Cumberland County,208
ME,Cumberland County,3
ME,Cumberland County,28
ME,Cumberland County,214
ME,Cumberland County,26
ME,Cumberland County,3
ME,Cumberland County,3
ME,Cumberland County,2
#FIELD!,#FIELD!,3
ME,Androscoggin County,314
ME,Androscoggin County,1
ME,Oxford County,1
ME,Oxford County,21
ME,Oxford County,44
ME,Oxford County,10
ME,Oxford County,12
ME,Androscoggin County,21
ME,Oxford County,22
ME,Franklin County,1
SN,Leipzig County,1
ME,Oxford County,3
ME,Androscoggin County,32
ME,Oxford County,4
ME,Oxford County,7
ME,Franklin County,84
ME,Androscoggin County,680
